Band,RMSE,Correlation,STD
B01,0.0178417,0.981309,0.0178417
B02,0.0186415,0.980511,0.0186415
B04,0.021097,0.979824,0.021097
B05,0.0297957,0.919909,0.0297946
B06,0.0292331,0.915097,0.0292318
B07,0.0300102,0.980432,0.0300094
B08,0.0273085,0.892463,0.0273084
B09,0.0274537,0.942073,0.0274537
B10,0.0278636,0.959154,0.0278636
B11,0.0329547,0.985216,0.0329547
B12,0.0295595,0.965725,0.0295595
B13,0.032806,0.986531,0.032806
B14,0.0332598,0.987115,0.0332597
B15,0.0325637,0.986645,0.0325636
B16,0.0300772,0.979884,0.0300772
