Band,RMSE,Correlation,STD
B01,0.0105915,0.955628,0.0105915
B02,0.0106868,0.954731,0.0106867
B04,0.0133886,0.992779,0.0133886
B05,0.0180364,0.97084,0.0180364
B06,0.0175497,0.9164,0.0175497
B07,0.0170689,0.826701,0.0170688
B08,0.016897,0.867149,0.016897
B09,0.0168968,0.88527,0.0168968
B10,0.0168938,0.848954,0.0168938
B11,0.0171574,0.764702,0.0171574
B12,0.0170345,0.610041,0.0170345
B13,0.0171448,0.773347,0.0171448
B14,0.0171082,0.790855,0.0171082
B15,0.0170299,0.799934,0.0170299
B16,0.0169398,0.633954,0.0169398
